date,code,side,price_open,price_close,qty,p,f*
20250710,104040,INTRADAY_OC,1024.0,1013.0,887,,
20250710,032750,INTRADAY_OC,4780.0,4785.0,190,,
20250710,009580,INTRADAY_OC,2860.0,2885.0,317,,
20250710,010040,INTRADAY_OC,2400.0,2440.0,378,,
20250710,054780,INTRADAY_OC,4365.0,4395.0,208,,
20250710,086980,INTRADAY_OC,2865.0,2850.0,317,,
20250710,018470,INTRADAY_OC,1534.0,1528.0,592,,
20250710,091340,INTRADAY_OC,2890.0,2890.0,314,,
20250710,052330,INTRADAY_OC,10220.0,10240.0,88,,
20250710,003570,INTRADAY_OC,53500.0,55500.0,16,,
20250710,012450,INTRADAY_OC,851000.0,853000.0,1,,
20250711,104040,INTRADAY_OC,1064.0,1100.0,854,,
20250711,032750,INTRADAY_OC,4825.0,4800.0,188,,
20250711,009580,INTRADAY_OC,2875.0,2920.0,316,,
20250711,010040,INTRADAY_OC,2440.0,2425.0,372,,
20250711,054780,INTRADAY_OC,4395.0,4435.0,206,,
20250711,086980,INTRADAY_OC,2850.0,2875.0,319,,
20250711,018470,INTRADAY_OC,1534.0,1523.0,592,,
20250711,091340,INTRADAY_OC,2890.0,2915.0,314,,
20250711,052330,INTRADAY_OC,10210.0,10120.0,89,,
20250711,003570,INTRADAY_OC,55100.0,54100.0,16,,
20250711,012450,INTRADAY_OC,847000.0,806000.0,1,,
20250714,104040,INTRADAY_OC,1100.0,1095.0,826,,
20250714,032750,INTRADAY_OC,4800.0,4810.0,189,,
20250714,009580,INTRADAY_OC,2905.0,2950.0,312,,
20250714,010040,INTRADAY_OC,2425.0,2415.0,374,,
20250714,054780,INTRADAY_OC,4495.0,4475.0,202,,
20250714,086980,INTRADAY_OC,2895.0,2860.0,313,,
20250714,018470,INTRADAY_OC,1520.0,1510.0,597,,
20250714,091340,INTRADAY_OC,2920.0,2915.0,311,,
20250714,052330,INTRADAY_OC,10280.0,10150.0,88,,
20250714,003570,INTRADAY_OC,54000.0,53600.0,16,,
20250714,012450,INTRADAY_OC,808000.0,807000.0,1,,
20250715,104040,INTRADAY_OC,1088.0,1082.0,834,,
20250715,032750,INTRADAY_OC,4775.0,4815.0,190,,
20250715,009580,INTRADAY_OC,2955.0,2945.0,307,,
20250715,010040,INTRADAY_OC,2400.0,2425.0,378,,
20250715,054780,INTRADAY_OC,4455.0,4500.0,203,,
20250715,086980,INTRADAY_OC,2850.0,2870.0,318,,
20250715,018470,INTRADAY_OC,1510.0,1520.0,601,,
20250715,091340,INTRADAY_OC,2915.0,2890.0,311,,
20250715,052330,INTRADAY_OC,10150.0,10150.0,89,,
20250715,003570,INTRADAY_OC,54400.0,54400.0,16,,
20250715,012450,INTRADAY_OC,802000.0,848000.0,1,,
20250716,104040,INTRADAY_OC,1082.0,1061.0,839,,
20250716,032750,INTRADAY_OC,4815.0,4770.0,188,,
20250716,009580,INTRADAY_OC,2945.0,2900.0,308,,
20250716,010040,INTRADAY_OC,2425.0,2435.0,374,,
20250716,054780,INTRADAY_OC,4500.0,4430.0,201,,
20250716,086980,INTRADAY_OC,2870.0,2865.0,316,,
20250716,018470,INTRADAY_OC,1520.0,1501.0,597,,
20250716,091340,INTRADAY_OC,2885.0,2865.0,314,,
20250716,052330,INTRADAY_OC,10150.0,10260.0,89,,
20250716,003570,INTRADAY_OC,54400.0,54500.0,16,,
20250716,012450,INTRADAY_OC,840000.0,854000.0,1,,
20250717,104040,INTRADAY_OC,1075.0,1142.0,844,,
20250717,032750,INTRADAY_OC,4790.0,4785.0,189,,
20250717,009580,INTRADAY_OC,2900.0,2905.0,313,,
20250717,010040,INTRADAY_OC,2440.0,2435.0,372,,
20250717,054780,INTRADAY_OC,4390.0,4455.0,206,,
20250717,086980,INTRADAY_OC,2865.0,2860.0,316,,
20250717,018470,INTRADAY_OC,1501.0,1496.0,604,,
20250717,091340,INTRADAY_OC,2865.0,2835.0,316,,
20250717,052330,INTRADAY_OC,10380.0,10080.0,87,,
20250717,003570,INTRADAY_OC,54300.0,54300.0,16,,
20250717,012450,INTRADAY_OC,855000.0,896000.0,1,,
20250718,104040,INTRADAY_OC,1173.0,1215.0,774,,
20250718,032750,INTRADAY_OC,4785.0,4800.0,189,,
20250718,009580,INTRADAY_OC,2890.0,2860.0,314,,
20250718,010040,INTRADAY_OC,2435.0,2430.0,373,,
20250718,054780,INTRADAY_OC,4415.0,4415.0,205,,
20250718,086980,INTRADAY_OC,2845.0,2865.0,319,,
20250718,018470,INTRADAY_OC,1494.0,1510.0,608,,
20250718,091340,INTRADAY_OC,2835.0,2795.0,320,,
20250718,052330,INTRADAY_OC,10080.0,9820.0,90,,
20250718,003570,INTRADAY_OC,54400.0,52100.0,16,,
20250718,012450,INTRADAY_OC,905000.0,896000.0,1,,
20250721,104040,INTRADAY_OC,1190.0,1190.0,762,,
20250721,032750,INTRADAY_OC,4800.0,4780.0,189,,
20250721,009580,INTRADAY_OC,2880.0,2855.0,315,,
20250721,010040,INTRADAY_OC,2390.0,2410.0,379,,
20250721,054780,INTRADAY_OC,4500.0,4510.0,201,,
20250721,086980,INTRADAY_OC,2825.0,2855.0,321,,
20250721,018470,INTRADAY_OC,1519.0,1570.0,597,,
20250721,091340,INTRADAY_OC,2795.0,2785.0,324,,
20250721,052330,INTRADAY_OC,9820.0,9750.0,92,,
20250721,003570,INTRADAY_OC,52400.0,52100.0,17,,
20250721,012450,INTRADAY_OC,891000.0,919000.0,1,,
20250722,104040,INTRADAY_OC,1175.0,1187.0,772,,
20250722,032750,INTRADAY_OC,4795.0,4725.0,189,,
20250722,009580,INTRADAY_OC,2855.0,2810.0,318,,
20250722,010040,INTRADAY_OC,2410.0,2420.0,376,,
20250722,054780,INTRADAY_OC,4515.0,4430.0,201,,
20250722,086980,INTRADAY_OC,2850.0,2810.0,318,,
20250722,018470,INTRADAY_OC,1580.0,1560.0,574,,
20250722,091340,INTRADAY_OC,2785.0,2720.0,326,,
20250722,052330,INTRADAY_OC,9870.0,9810.0,91,,
20250722,003570,INTRADAY_OC,52400.0,51600.0,17,,
20250723,104040,INTRADAY_OC,1202.0,1165.0,754,,
20250723,032750,INTRADAY_OC,4725.0,4760.0,191,,
20250723,009580,INTRADAY_OC,2785.0,2815.0,325,,
20250723,010040,INTRADAY_OC,2420.0,2410.0,374,,
20250723,054780,INTRADAY_OC,4430.0,4405.0,204,,
20250723,086980,INTRADAY_OC,2835.0,2845.0,319,,
20250723,018470,INTRADAY_OC,1561.0,1549.0,580,,
20250723,091340,INTRADAY_OC,2725.0,2745.0,332,,
20250723,052330,INTRADAY_OC,9810.0,9820.0,92,,
20250723,003570,INTRADAY_OC,51200.0,50800.0,17,,
20250724,104040,INTRADAY_OC,1155.0,1141.0,784,,
20250724,032750,INTRADAY_OC,4775.0,4640.0,189,,
20250724,009580,INTRADAY_OC,2815.0,2800.0,322,,
20250724,010040,INTRADAY_OC,2385.0,2355.0,380,,
20250724,054780,INTRADAY_OC,4405.0,4335.0,205,,
20250724,086980,INTRADAY_OC,2810.0,2810.0,322,,
20250724,018470,INTRADAY_OC,1549.0,1526.0,585,,
20250724,091340,INTRADAY_OC,2790.0,2700.0,324,,
20250724,052330,INTRADAY_OC,9830.0,9720.0,92,,
20250724,003570,INTRADAY_OC,53000.0,53000.0,17,,
20250725,104040,INTRADAY_OC,1137.0,1150.0,796,,
20250725,032750,INTRADAY_OC,4605.0,4635.0,196,,
20250725,009580,INTRADAY_OC,2800.0,2760.0,323,,
20250725,010040,INTRADAY_OC,2350.0,2355.0,385,,
20250725,054780,INTRADAY_OC,4380.0,4290.0,206,,
20250725,086980,INTRADAY_OC,2810.0,2770.0,322,,
20250725,018470,INTRADAY_OC,1545.0,1529.0,585,,
20250725,091340,INTRADAY_OC,2690.0,2650.0,336,,
20250725,052330,INTRADAY_OC,9720.0,9820.0,93,,
20250725,003570,INTRADAY_OC,53100.0,52300.0,17,,
